step,mreturn
500,-1087.4296276204868
1000,-1329.4502584073275
1500,-1517.4307151256708
2000,-1544.64077410077
2500,-1389.3014997359628
3000,-1231.80647945984
3500,-1205.8803370856388
4000,-975.3581750795199
4500,-966.8073098733046
5000,-796.2510496043765
5500,-332.9749426116428
6000,-203.55892925772326
6500,-163.69156523693604
7000,-172.0980582715
7500,-225.02343925831292
8000,-125.55601398886913
8500,-110.7417753750706
9000,-193.39898458236377
9500,-137.30812794237076
10000,-198.99532783585306
10500,-159.7092735930929
11000,-170.89428817169093
11500,-111.35649776691523
12000,-122.47192229229461
12500,-178.46465044935584
13000,-124.0898246200433
13500,-160.88084183606207
14000,-145.7502246044649
14500,-111.18629840581714
15000,-135.40637008610213
